Type,Timestamp/ms,X,Y,Z
1,6773,1.2850037,1.9694366,9.250519
1,6831,1.3440552,1.9510803,9.355072
1,6892,1.30336,2.035675,9.568146
9,6952,1.3077943,2.0663002,9.496866
1,6952,1.1868439,2.023697,9.196243
1,7018,1.4095001,1.9869995,9.552185
1,7070,1.2658539,2.0644073,9.446045
1,7132,1.2881927,2.018921,9.183472
9,7192,1.3022226,2.0747483,9.49579
1,7193,1.348053,2.0476532,9.48436
1,7253,1.2427063,2.0508423,9.281647
1,7311,1.3081512,2.018921,9.337509
9,7372,1.2567585,2.061838,9.504723
1,7372,1.2083893,2.0540314,9.5633545
1,7430,1.213974,2.025299,9.313568
1,7491,1.2818146,1.953476,9.359055
1,7551,1.1277924,2.063614,9.525848
9,7551,1.2253017,2.0339572,9.5148325
1,7611,1.2115784,1.9319305,9.2664795
1,7671,1.1413574,1.8928223,9.390976
1,7734,0.9474182,2.0723877,9.630402
1,7790,0.8396759,2.0316772,9.329529
9,7791,1.1029403,2.016046,9.533597
1,7852,1.0775146,1.9630585,9.562561
1,7912,1.0176544,1.9726257,9.438858
9,7970,1.101971,2.0395856,9.528701
1,7970,1.1158142,1.9343109,9.287231
1,8032,1.0647278,2.001358,9.514679
1,8089,0.90193176,2.0891418,9.430084
1,8149,1.030426,1.9758148,9.284836
9,8149,1.081558,2.0471895,9.529408
1,8210,1.0719299,1.9965668,9.743713
1,8269,1.0846863,1.9255371,9.493134
1,8329,1.6872253,1.5991364,9.787613
9,8391,1.0152763,2.005682,9.545514
1,8391,2.6034088,1.4411163,10.0581665
1,8449,3.5818481,0.9255676,10.242508
1,8510,2.7111511,1.2567596,9.784424
1,8571,2.2706146,1.695694,8.776459
9,8572,0.509723,2.391505,9.496909
1,8630,0.2778473,2.6358185,8.481979
1,8688,-0.6551056,3.5376434,8.78125
9,8750,-0.17330034,2.9364746,9.355078
1,8751,-1.6127777,4.015686,9.134003
1,8810,-1.7707977,3.9183197,8.450058
1,8870,-2.0836334,4.2343445,8.373444
1,8930,-0.7875824,3.042038,8.847488
1,8988,-1.9152527,3.9901428,7.6455994
9,8988,-0.76095974,3.9938498,8.924152
1,9049,-1.6103821,4.0579834,9.610443
1,9109,-1.5648956,5.7778015,8.006332
1,9169,0.83969116,6.0236053,3.9840698
9,9170,-0.11782481,4.439188,8.743576
1,9229,4.4174194,2.7411652,7.790848
1,9288,0.4190979,2.5312805,9.576126
1,9350,1.3249054,1.7587433,8.382217
9,9350,1.2468565,0.8703273,9.688048
1,9408,-2.2528229,-0.71206665,11.237701
1,9468,0.5364227,-2.351303,10.660706
1,9527,-0.23371887,-3.7072144,11.682236
9,9587,1.5915942,-1.248514,9.595751
1,9587,1.1389618,-3.3584595,10.229752
1,9647,1.6441345,-1.7567444,8.363861
1,9707,2.481308,-0.1598053,8.885803
1,9767,0.5659485,-0.45429993,10.440445
9,9769,1.0471983,-1.7616018,9.590127
1,9828,-2.4858704,-0.6897278,10.615204
1,9888,0.4159088,-0.39762878,9.631989
9,9947,1.2509117,-1.4630731,9.615873
1,9948,2.302536,-0.5907593,9.012695
1,10008,2.4932709,-1.5284882,9.252106
1,10068,3.3687592,-1.908371,9.182678
1,10126,4.1269226,-2.6409912,8.96402
1,10187,2.1149902,-3.402359,8.82515
9,10188,1.2683524,-1.7398697,9.5673685
1,10248,-0.31433105,-3.244339,9.390976
1,10307,0.50050354,-2.066391,9.298401
1,10367,1.8691864,-0.33139038,9.782837
9,10368,1.0455456,-0.61979574,9.731036
1,10427,0.8205261,-1.1765442,9.500305
1,10488,0.80296326,-1.0576324,9.709412
9,10548,0.45000648,-0.30321273,9.791626
1,10548,0.6393738,-0.28590393,9.551392
1,10607,0.58670044,-0.052871704,9.653534
1,10666,0.39038086,-0.124694824,9.667908
1,10727,0.1956482,-0.100753784,9.569748
9,10787,-0.062181257,-0.1990728,9.804432
1,10787,0.08390808,-0.12548828,9.638382
1,10846,0.078323364,-0.126297,9.646362
1,10905,0.06794739,-0.12867737,9.653534
9,10966,-0.06969304,-0.19570579,9.80445
1,10966,0.06794739,-0.12150574,9.648758
1,11027,0.06954956,-0.12867737,9.651947
1,11086,0.06555176,-0.12867737,9.655136
9,11147,-0.0669051,-0.19048338,9.804573
1,11148,0.063964844,-0.12869263,9.659927
1,11206,0.07273865,-0.12709045,9.655136
1,11266,0.063964844,-0.13188171,9.659927
1,11326,0.07434082,-0.131073,9.655136
1,11385,0.06954956,-0.12709045,9.655136
9,11387,-0.06417446,-0.18568872,9.804682
1,11444,0.058380127,-0.13186646,9.647156
1,11504,0.0687561,-0.12628174,9.643173
9,11566,-0.06051802,-0.18117428,9.8047905
1,11567,0.06715393,-0.13188171,9.643967
1,11625,0.06715393,-0.12390137,9.650345
1,11684,0.0647583,-0.13267517,9.648758
1,11746,0.06794739,-0.13267517,9.643173
9,11747,-0.01998705,-0.16267419,9.80528
1,11805,0.063964844,-0.12947083,9.651138
1,11863,0.06636047,-0.122299194,9.65593
1,11923,0.06636047,-0.126297,9.649551
9,11985,0.006804733,-0.15051116,9.805492
1,11986,0.06794739,-0.12788391,9.657532
1,12043,0.06636047,-0.13267517,9.659119
1,12104,0.060775757,-0.13426208,9.660721
9,12165,0.025107652,-0.14308785,9.805573
1,12166,0.05996704,-0.12788391,9.660721
1,12223,0.06315613,-0.13027954,9.660721
1,12283,0.06715393,-0.12948608,9.657532
9,12344,0.035747696,-0.13773349,9.805618
1,12345,0.060775757,-0.13027954,9.665512
1,12404,0.06954956,-0.12788391,9.66951
1,12463,0.07115173,-0.13267517,9.659927
1,12524,0.06315613,-0.12948608,9.66391
1,12584,0.07034302,-0.12947083,9.659119
9,12585,0.044426143,-0.13475208,9.805624
1,12607,0.07434082,-0.13346863,9.660721
1,12671,0.07673645,-0.131073,9.660721
9,12738,0.052204292,-0.13331217,9.805605
1,12738,0.06715393,-0.13346863,9.660721
1,12803,0.06236267,-0.131073,9.658325
1,12871,0.06715393,-0.131073,9.658325
1,12937,0.06954956,-0.126297,9.658325
9,12937,0.055379666,-0.13139226,9.8056135
1,13004,0.06715393,-0.12867737,9.658325
1,13072,0.07434082,-0.13586426,9.65593
1,13139,0.05757141,-0.11671448,9.665512
9,13139,0.05701343,-0.12929513,9.805633
1,13206,0.07194519,-0.131073,9.658325
1,13272,0.05517578,-0.13586426,9.65593
9,13340,0.05863461,-0.13087222,9.805602
1,13341,0.07673645,-0.14065552,9.663116
1,13407,0.08151245,-0.126297,9.665512
1,13472,0.05279541,-0.12390137,9.665512
9,13541,0.058907337,-0.13000712,9.805612
1,13541,0.06236267,-0.14065552,9.660721
1,13607,0.06954956,-0.126297,9.667908
1,13673,0.07194519,-0.12867737,9.651154
9,13741,0.06301282,-0.12864068,9.805603
1,13742,0.08151245,-0.12867737,9.658325
1,13807,0.06236267,-0.13586426,9.658325
1,13874,0.0647583,-0.11671448,9.658325
1,13940,0.06715393,-0.11192322,9.65593
9,13941,0.061558343,-0.12558495,9.805653
1,14007,0.06954956,-0.131073,9.670303
1,14074,0.07194519,-0.126297,9.670303
9,14142,0.06178087,-0.12564087,9.805651
1,14142,0.05517578,-0.126297,9.672699
1,14209,0.07194519,-0.12867737,9.658325
1,14276,0.0647583,-0.12390137,9.672699
1,14342,0.07194519,-0.131073,9.65593
9,14342,0.06328779,-0.12572147,9.805639
1,14409,0.07434082,-0.13346863,9.658325
1,14475,0.05757141,-0.126297,9.663116
9,14543,0.062223136,-0.1249591,9.8056555
1,14543,0.06236267,-0.11671448,9.665512
1,14610,0.06715393,-0.13346863,9.660721
1,14676,0.08151245,-0.14065552,9.658325
1,14744,0.07673645,-0.131073,9.663116
9,14744,0.06454585,-0.12769859,9.805606
1,14810,0.05279541,-0.12867737,9.660721
1,14878,0.0647583,-0.11671448,9.660721
1,14944,0.06954956,-0.14305115,9.663116
9,14944,0.06270809,-0.12763606,9.805618
1,15011,0.07673645,-0.13825989,9.660721
1,15078,0.07911682,-0.13346863,9.65593
1,15145,0.06954956,-0.131073,9.658325
9,15145,0.06535556,-0.12922065,9.80558
1,15212,0.0647583,-0.13586426,9.663116
1,15279,0.06954956,-0.13346863,9.65593
1,15346,0.07194519,-0.12867737,9.665512
9,15346,0.064956106,-0.12972629,9.805576
1,15414,0.08151245,-0.12867737,9.658325
1,15480,0.06236267,-0.12867737,9.663116
9,15548,0.064956665,-0.12900676,9.805587
1,15549,0.0647583,-0.131073,9.648758
1,15613,0.05996704,-0.131073,9.660721
1,15681,0.07434082,-0.13346863,9.65593
1,15748,0.07673645,-0.131073,9.660721
9,15748,0.06474616,-0.12932397,9.805584
1,15815,0.05279541,-0.11911011,9.658325
1,15881,0.05996704,-0.126297,9.658325
9,15949,0.061038032,-0.12782137,9.805627
1,15949,0.06236267,-0.131073,9.670303
1,16016,0.07194519,-0.13346863,9.65593
1,16083,0.07673645,-0.126297,9.658325
1,16150,0.0647583,-0.12390137,9.667908
9,16151,0.062890194,-0.12717646,9.805624
1,16217,0.05996704,-0.12390137,9.653534
1,16283,0.05039978,-0.12867737,9.665512
1,16350,0.0647583,-0.11911011,9.65593
9,16353,0.05980899,-0.1254099,9.805665
1,16418,0.08390808,-0.12390137,9.660721
1,16484,0.07434082,-0.12867737,9.648758
1,16550,0.06954956,-0.13346863,9.658325
9,16551,0.06415789,-0.12631863,9.805627
1,16619,0.05279541,-0.126297,9.65593
1,16685,0.07194519,-0.131073,9.648758
9,16753,0.065204225,-0.12833682,9.8055935
1,16754,0.06954956,-0.13346863,9.646362
1,16819,0.06236267,-0.12867737,9.648758
1,16886,0.07434082,-0.12867737,9.651154
9,16952,0.06410097,-0.12906453,9.805592
1,16953,0.04560852,-0.12390137,9.648758
1,17019,0.07673645,-0.12390137,9.653534
1,17086,0.06715393,-0.13586426,9.660721
1,17154,0.06715393,-0.131073,9.660721
9,17154,0.06658451,-0.13012925,9.80556
1,17221,0.07194519,-0.131073,9.653534
1,17287,0.05757141,-0.12150574,9.651154
1,17354,0.06715393,-0.12867737,9.65593
9,17355,0.06708974,-0.1297811,9.805563
1,17421,0.07673645,-0.12867737,9.660721
1,17488,0.06715393,-0.12867737,9.665512
1,17555,0.0647583,-0.11431885,9.65593
9,17556,0.06875689,-0.12843548,9.805568
