Type,Timestamp/us,X,Y,Z
1,0,0.11982727,0.036514282,9.65593
9,0,0.1242781,0.036460906,9.805795
1,0,0.12940979,0.034118652,9.651154
1,0,0.11743164,0.04849243,9.651154
1,0,0.11503601,0.038909912,9.653534
1,0,0.11743164,0.031723022,9.646362
9,0,0.123119436,0.037515167,9.805805
1,0,0.12461853,0.041305542,9.663116
1,0,0.11743164,0.043701172,9.665512
9,0,0.12325207,0.038334414,9.805801
1,0,0.12461853,0.026931763,9.653534
1,0,0.11982727,0.036514282,9.653534
1,0,0.11982727,0.041305542,9.648758
1,0,0.11982727,0.043701172,9.65593
9,0,0.12350457,0.03903493,9.805795
1,0,0.11264038,0.038909912,9.660721
1,0,0.11024475,0.029327393,9.65593
9,0,0.12284513,0.03706385,9.80581
1,0,0.12940979,0.031723022,9.653534
1,0,0.11024475,0.041305542,9.663116
1,0,0.1222229,0.036514282,9.651154
9,0,0.12374308,0.03863983,9.805794
1,0,0.13179016,0.043701172,9.663116
1,0,0.12461853,0.038909912,9.653534
1,0,0.1222229,0.034118652,9.653534
9,0,0.12489439,0.03955018,9.805775
1,0,0.1222229,0.038909912,9.663116
1,0,0.1222229,0.031723022,9.660721
1,0,0.12701416,0.031723022,9.663116
9,0,0.12610841,0.037671853,9.805767
1,0,0.11982727,0.038909912,9.65593
1,0,0.12701416,0.038909912,9.651154
1,0,0.1222229,0.034118652,9.63678
9,0,0.12570895,0.03724904,9.805774
1,0,0.11264038,0.036514282,9.648758
1,0,0.11982727,0.019760132,9.667908
1,0,0.13179016,0.041305542,9.665512
1,0,0.12701416,0.026931763,9.65593
9,0,0.1272564,0.03451201,9.805764
1,0,0.13418579,0.038909912,9.658325
1,0,0.11982727,0.038909912,9.653534
9,0,0.1273157,0.035675254,9.805758
1,0,0.11982727,0.036514282,9.646362
1,0,0.12461853,0.036514282,9.651154
1,0,0.11982727,0.04849243,9.663116
1,0,0.12461853,0.038909912,9.65593
9,0,0.12721606,0.0373843,9.805753
1,0,0.11982727,0.036514282,9.65593
1,0,0.11982727,0.031723022,9.653534
9,0,0.12460782,0.03628884,9.805791
1,0,0.11503601,0.031723022,9.646362
1,0,0.11503601,0.04849243,9.639175
1,0,0.12461853,0.031723022,9.648758
1,0,0.11503601,0.041305542,9.670303
9,0,0.1233457,0.037990633,9.8058
1,0,0.12701416,0.038909912,9.653534
1,0,0.11024475,0.038909912,9.65593
1,0,0.1222229,0.031723022,9.660721
9,0,0.12302974,0.038246926,9.805803
1,0,0.10784912,0.029327393,9.65593
1,0,0.11264038,0.036514282,9.639175
9,0,0.11988065,0.037488315,9.805846
1,0,0.11264038,0.043701172,9.648758
1,0,0.11982727,0.024551392,9.653534
